Date,Issuer,Symbol,Lead/Joint-Lead  Managers,Offer Price,Opening Price,1st Day Close,1st Day % Px Chng ,$ Change Opening,$ Change Close,Star Ratings,Performed
2009/10/1 0:00,Talecris BioTherapeutics ,TLCR,Morgan Stanley/Goldman Sachs/Citi/JPMorgan,19,19.5,21.15,0.113157895,0.5,2.15,2,
2009/10/2 0:00,Echo Global Logitcs ,ECHO,Morgan Stanley/ Citi,14,13.6,14.06,0.004285714,-0.4,0.06,2,Missed
2009/10/2 0:00,Education Management Corporation ,EDMC,Goldman Sachs/J.P. Morgan/BofA Merrill Lynch/Barclays Capital/Credit Suisse/Morgan Stanley,18,20.25,21.77,0.209444444,2.25,3.77,2,
2009/10/7 0:00,Banco Santander ,BSBR,Santander/ Credit Suisse/ BofA Merrill Lynch/ UBS Investment Bank,13.4033,13.3,13.01,-0.02934352,-0.1033,-0.3933,2,Missed
2009/10/7 0:00,Verisk Analytics ,VRSK,BofA Merrill Lynch/Morgan Stanley,22,26.41,27.22,0.237272727,4.41,5.22,3,
2009/10/8 0:00,Mistras Group ,MG,J.P. Morghan/Credit Suisse.BofA Merrill Lynch,12.5,12.3,12.53,0.0024,-0.2,0.03,1,
2009/10/8 0:00,Omeros ,OMER,Deutsche Bank Securities,10,9.49,8.73,-0.127,-0.51,-1.27,1,
2009/10/13 0:00,RailAmerica ,RA,JPMorgan/Citi/Deutsche Bank/Morgan Stanley,15,14.35,13.75,-0.083333333,-0.65,-1.25,1,
2009/10/16 0:00,China Real Estate Information ,CRIC,Credit Suisse/UBS Investment Bank,12,12.28,14.2,0.183333333,0.28,2.2,2,
2009/10/20 0:00,ZST Digital Networks ,ZSTN,Rodman & Renshaw/WestPark Capital,8,8,7.52,-0.06,0,-0.48,2,Missed
2009/10/21 0:00,AGA Medical Holdings ,AGAM,BofA Merrill Lynch,14.5,14.5,14.6,0.006896552,0,0.1,1,
2009/10/23 0:00,Dole Foods ,DOLE,Goldman Sachs/BofA Merrill Lynch/ Deutsche Bank/Wells Fargo,12.5,12.45,12.28,-0.0176,-0.05,-0.22,1,
2009/10/28 0:00,Addus HomeCare ,ADUS,William Baird/Oppenheimer,10,9.4,8.49,-0.151,-0.6,-1.51,1,
2009/10/28 0:00,Vitamin Shoppe ,VSI,J.P. Morgan/BofA Merrill Lynch/Barclays Capital,17,19.5,17.95,0.055882353,2.5,0.95,2,
2009/11/5 0:00,Hyatt Hotels,H,Goldman Sachs,25,26,28,0.12,1,3,1,Missed
